"","SYMBOL","ENSEMBL","AD_related"
"447","SERPINA1","ENSG00000197249",TRUE
"448","SERPINA1","ENSG00000277377",TRUE
"449","SERPINA3","ENSG00000196136",TRUE
"450","SETX","ENSG00000107290",TRUE
"451","SGPL1","ENSG00000166224",TRUE
"452","SH3PXD2A","ENSG00000107957",TRUE
"453","SIGMAR1","ENSG00000147955",TRUE
"454","SIRT2","ENSG00000068903",TRUE
"455","SIRT2","ENSG00000283100",TRUE
"456","SLC19A1","ENSG00000173638",TRUE
"457","SLC2A14","ENSG00000173262",TRUE
"458","SLC2A9","ENSG00000109667",TRUE
"459","SLC6A3","ENSG00000142319",TRUE
"460","SLC6A3","ENSG00000276996",TRUE
"461","SLC6A4","ENSG00000108576",TRUE
"462","SNTG1","ENSG00000147481",TRUE
"463","SNX3","ENSG00000112335",TRUE
"464","SOD1","ENSG00000142168",TRUE
"465","SOD2","ENSG00000291237",TRUE
"466","SORCS1","ENSG00000108018",TRUE
"467","SORCS2","ENSG00000184985",TRUE
"468","SORCS3","ENSG00000156395",TRUE
"469","SOS2","ENSG00000100485",TRUE
"470","SREBF1","ENSG00000072310",TRUE
"471","SST","ENSG00000157005",TRUE
"472","STAR","ENSG00000147465",TRUE
"473","STH","ENSG00000256762",TRUE
"474","STH","ENSG00000281139",TRUE
"475","TAP2","ENSG00000204267",TRUE
"476","TAP2","ENSG00000232326",TRUE
"477","TAP2","ENSG00000225967",TRUE
"478","TAP2","ENSG00000206235",TRUE
"479","TAP2","ENSG00000223481",TRUE
"480","TAP2","ENSG00000228582",TRUE
"481","TAP2","ENSG00000206299",TRUE
"482","TAP2","ENSG00000237599",TRUE
"483","TAPBPL","ENSG00000139192",TRUE
"484","TARDBP","ENSG00000120948",TRUE
"485","TBX3","ENSG00000135111",TRUE
"486","TF","ENSG00000091513",TRUE
"487","TFAM","ENSG00000108064",TRUE
"488","TFCP2","ENSG00000135457",TRUE
"489","TGFB1","ENSG00000105329",TRUE
"490","THEM5","ENSG00000196407",TRUE
"491","TLR2","ENSG00000137462",TRUE
"492","TLR4","ENSG00000136869",TRUE
"493","TLR9","ENSG00000239732",TRUE
"494","TMPRSS15","ENSG00000154646",TRUE
"495","TNK1","ENSG00000174292",TRUE
"496","TNK1","ENSG00000283781",TRUE
"497","TOMM40","ENSG00000130204",TRUE
"498","TP53","ENSG00000141510",TRUE
"499","TP63","ENSG00000073282",TRUE
"500","TP73","ENSG00000078900",TRUE
"501","TRAK2","ENSG00000115993",TRUE
"502","TRIP4","ENSG00000103671",TRUE
"503","TRPC4AP","ENSG00000100991",TRUE
"504","TTR","ENSG00000118271",TRUE
"505","UBD","ENSG00000213886",TRUE
"506","UBD","ENSG00000228913",TRUE
"507","UBD","ENSG00000226898",TRUE
"508","UBD","ENSG00000206513",TRUE
"509","UBD","ENSG00000224654",TRUE
"510","UBD","ENSG00000231968",TRUE
"511","UBD","ENSG00000206468",TRUE
"512","UBE2D1","ENSG00000072401",TRUE
"513","UBE2I","ENSG00000103275",TRUE
"514","UBQLN1","ENSG00000135018",TRUE
"515","UCHL1","ENSG00000154277",TRUE
"516","UNC5C","ENSG00000182168",TRUE
"517","VDR","ENSG00000111424",TRUE
"518","VEGFA","ENSG00000112715",TRUE
"519","VLDLR","ENSG00000147852",TRUE
"520","VSNL1","ENSG00000163032",TRUE
"521","WWC1","ENSG00000113645",TRUE
"522","YWHAQ","ENSG00000134308",TRUE
"523","ZNF628","ENSG00000197483",TRUE
